Price,Mileage,Cylinder,Doors,Cruise,Sound,Leather,Buick,Cadillac,Chevy,Pontiac,Saab,Saturn,convertible,coupe,hatchback,sedan,wagon
4.136339996533044,18766,4,4,1,1,1,0,0,1,0,0,0,0,0,0,1,0
4.475880006162885,22105,4,4,1,0,1,0,0,0,0,1,0,0,0,0,0,1
4.560369984132191,18195,4,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0
4.233490061584189,18277,6,4,1,1,1,0,0,1,0,0,0,0,0,0,1,0
4.293179957938008,31324,6,4,1,1,1,1,0,0,0,0,0,0,0,0,1,0
4.328009990049799,17417,6,4,1,1,1,0,0,0,1,0,0,0,0,0,1,0
4.432330039159985,17319,4,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0
4.412380065289574,36557,4,4,1,1,1,0,0,0,0,1,0,0,0,0,0,1
4.155479968566206,21128,4,4,0,1,1,0,0,1,0,0,0,0,0,0,1,0
4.020820198765261,30948,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0
4.133080102225492,35662,6,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0
4.531279990164396,25420,4,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0
4.251509981241121,21121,6,4,1,1,0,0,0,0,1,0,0,0,0,0,1,0
4.223339899194921,19740,6,4,1,1,1,0,0,1,0,0,0,0,0,1,0,0
4.408549968047836,20208,4,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0
4.184550049211117,27325,6,4,1,1,1,1,0,0,0,0,0,0,0,0,1,0
4.196569940055032,23989,6,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0
4.032979985492162,31436,4,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0
4.435919978858843,14281,4,4,1,1,1,0,0,0,0,1,0,0,0,0,1,0
4.488440013701422,17870,6,4,1,1,1,0,1,0,0,0,0,0,0,0,1,0
4.177449920971825,12305,4,4,1,1,1,0,0,1,0,0,0,0,0,0,1,0
4.24964001208842,28385,6,4,1,1,1,0,0,0,1,0,0,0,0,0,1,0
4.090879943337202,19347,4,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0
4.29329005573932,21132,6,4,1,1,1,0,0,0,1,0,0,0,0,0,1,0
4.148540035391427,26788,4,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0
4.414119956584779,636,6,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4.5437500243800075,25796,6,4,1,1,1,0,1,0,0,0,0,0,0,0,1,0
4.140830030625519,17594,4,4,0,1,1,0,0,1,0,0,0,0,0,0,1,0
4.177049990851834,19455,4,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0
4.415179922785326,34269,4,4,1,1,1,0,0,0,0,1,0,0,0,0,0,1
4.232870121322081,18720,6,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0
4.098749950598814,32844,4,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0
4.234869941285747,18721,6,4,0,1,1,0,0,1,0,0,0,0,0,1,0,0
4.3664199685224805,27686,4,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0
4.444450000417881,10014,4,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0
4.372429963113953,12466,6,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0
4.218449898230133,24218,6,4,1,1,1,0,0,1,0,0,0,0,0,0,1,0
4.243420059770134,18602,6,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0
4.47952996383625,25049,4,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0
4.1807900040394586,17158,4,4,1,1,1,0,0,1,0,0,0,0,0,0,1,0
4.363190076964156,23798,6,4,1,0,1,1,0,0,0,0,0,0,0,0,1,0
4.459649972170735,21039,6,4,1,0,1,0,1,0,0,0,0,0,0,0,1,0
4.262730087696265,17441,6,4,0,1,1,0,0,1,0,0,0,0,0,1,0,0
4.307380067943532,33892,6,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0
3.996470079461169,34621,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0
4.255389989995754,18771,6,4,0,1,1,0,0,1,0,0,0,0,0,1,0,0
4.0958500844125245,19712,4,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0
4.433120065845606,22598,4,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0
4.8055900187018965,18200,8,2,1,1,1,0,1,0,0,0,0,1,0,0,0,0
4.193240116457696,5788,4,4,1,1,1,0,0,0,1,0,0,0,0,0,1,0
4.062170055202641,38958,4,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4.113339932112474,20309,4,4,1,1,1,0,0,1,0,0,0,0,0,0,1,0
4.33007005767089,7287,6,4,1,1,1,0,0,0,1,0,0,0,0,0,1,0
4.244369908855161,18451,6,4,0,1,1,0,0,1,0,0,0,0,0,1,0,0
4.471469940629362,32477,4,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
4.056710137096597,25107,4,4,0,1,1,0,0,1,0,0,0,0,0,1,0,0
4.396409989873321,38717,4,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0
